Id,MemberId,LoanAmount,TransactionDate,MaturityDate,LoanStatus,InitialInterestAmount,ProductId,RepaymentAmount,RepaymentDate,RepaymentType
24,16,1500.0,2024-11-23 18:12:45.728862+00:00,2024-11-28 00:00:00+00:00,fully_settled,187.5,1,1687.5,2024-12-02 12:38:55.132321+00:00,self_loan_repayment
41,4,1.0,2024-11-27 10:26:13.037785+00:00,2024-11-28 00:00:00+00:00,fully_settled,0.125,1,1.125,2024-11-29 06:06:47.601286+00:00,self_loan_repayment
22,4,2.0,2024-11-23 04:08:53.435703+00:00,2024-11-28 00:00:00+00:00,fully_settled,0.25,1,2.25,2024-11-29 07:36:36.339257+00:00,self_loan_repayment
20,34,2000.0,2024-11-22 16:11:33.329363+00:00,2024-11-28 00:00:00+00:00,fully_settled,250.0,1,300.0,2024-12-04 14:19:53.561110+00:00,self_loan_repayment
29,5,50.0,2024-11-25 15:47:22.250368+00:00,2024-11-28 00:00:00+00:00,fully_settled,6.25,1,56.25,2024-11-29 07:49:00.759801+00:00,self_loan_repayment
1,4,100.0,2024-11-20 18:17:42.823619+00:00,2024-11-28 00:00:00+00:00,fully_settled,12.5,1,4.0,2024-12-04 20:09:48.246589+00:00,self_loan_repayment
72,3,20.0,2024-11-29 13:17:30.071596+00:00,2024-12-28 00:00:00+00:00,fully_settled,2.5,1,22.5,2024-11-29 13:19:23.261067+00:00,self_loan_repayment
62,4,1.0,2024-11-29 05:46:57.351139+00:00,2024-12-28 00:00:00+00:00,fully_settled,0.125,1,1.125,2024-11-30 04:50:18.281824+00:00,self_loan_repayment
4,4,1.0,2024-11-20 19:01:42.345183+00:00,2024-11-28 00:00:00+00:00,fully_settled,0.125,1,1.125,2024-12-02 07:02:41.728609+00:00,self_loan_repayment
61,4,1.0,2024-11-29 05:43:06.742375+00:00,2024-12-28 00:00:00+00:00,fully_settled,0.125,1,1.125,2024-12-02 07:03:33.736817+00:00,self_loan_repayment
9,5,50.0,2024-11-20 21:28:02.537089+00:00,2024-11-28 00:00:00+00:00,fully_settled,6.25,1,56.25,2024-12-06 06:02:12.337820+00:00,self_loan_repayment
196,4,1.0,2024-12-06 12:28:16.860025+00:00,2024-12-28 00:00:00+00:00,fully_settled,0.125,1,1.125,2024-12-06 12:29:26.545779+00:00,self_loan_repayment
20,34,2000.0,2024-11-22 16:11:33.329363+00:00,2024-11-28 00:00:00+00:00,fully_settled,250.0,1,300.0,2024-12-06 20:00:37.216894+00:00,self_loan_repayment
158,23,1100.0,2024-12-03 08:53:36.075467+00:00,2024-12-28 00:00:00+00:00,fully_settled,137.5,1,1237.0,2024-12-22 18:25:50.768322+00:00,self_loan_repayment
20,34,2000.0,2024-11-22 16:11:33.329363+00:00,2024-11-28 00:00:00+00:00,fully_settled,250.0,1,500.0,2024-12-23 10:26:13.967166+00:00,self_loan_repayment
158,23,1100.0,2024-12-03 08:53:36.075467+00:00,2024-12-28 00:00:00+00:00,fully_settled,137.5,1,0.5,2024-12-24 16:50:22.974747+00:00,self_loan_repayment
169,45,200.0,2024-12-03 15:24:53.070917+00:00,2024-12-14 00:00:00+00:00,fully_settled,37.0,4,237.0,2025-01-04 07:27:54.844618+00:00,allocation_repayment
20,34,2000.0,2024-11-22 16:11:33.329363+00:00,2024-11-28 00:00:00+00:00,fully_settled,250.0,1,500.0,2024-12-25 09:26:30.414349+00:00,self_loan_repayment
5,2,2000.0,2024-11-20 19:05:31.394930+00:00,2024-11-28 00:00:00+00:00,fully_settled,250.0,1,2250.0,2025-01-06 12:51:02.482995+00:00,allocation_repayment
207,23,600.0,2024-12-14 06:15:52.119792+00:00,2024-12-28 00:00:00+00:00,fully_settled,75.0,1,675.0,2024-12-28 08:19:36.271060+00:00,self_loan_repayment
205,4,350.0,2024-12-10 15:01:28.797970+00:00,2024-12-28 00:00:00+00:00,fully_settled,43.75,1,1.0,2024-12-18 09:01:30.828640+00:00,allocation_repayment
20,34,2000.0,2024-11-22 16:11:33.329363+00:00,2024-11-28 00:00:00+00:00,fully_settled,250.0,1,650.0,2025-01-01 07:58:14.992746+00:00,self_loan_repayment
182,14,1.0,2024-12-04 09:41:55.915068+00:00,2024-12-28 00:00:00+00:00,overdue,0.125,1,1.0,2025-01-02 19:02:26.053939+00:00,allocation_repayment
166,14,1.0,2024-12-03 11:19:02.986860+00:00,2024-12-28 00:00:00+00:00,fully_settled,0.125,1,1.0,2025-01-02 19:08:41.912819+00:00,allocation_repayment
92,12,1.0,2024-12-02 09:45:33.770457+00:00,2024-12-28 00:00:00+00:00,fully_settled,0.125,1,1.125,2025-01-03 05:34:59.530561+00:00,allocation_repayment
60,4,1.0,2024-11-29 05:33:04.715750+00:00,2024-12-28 00:00:00+00:00,fully_settled,0.125,1,1.125,2025-01-03 05:43:58.217888+00:00,allocation_repayment
16,12,1.0,2024-11-22 13:24:28.503636+00:00,2024-11-28 00:00:00+00:00,fully_settled,0.125,1,1.125,2025-01-03 05:47:57.076749+00:00,allocation_repayment
17,22,1.0,2024-11-22 13:45:43.701957+00:00,2024-11-28 00:00:00+00:00,fully_settled,0.125,1,1.125,2025-01-03 05:48:21.599484+00:00,allocation_repayment
84,3,10.0,2024-12-01 20:29:05.018234+00:00,2024-12-28 00:00:00+00:00,fully_settled,1.25,1,11.25,2025-01-03 06:03:23.598942+00:00,allocation_repayment
7,1,10.0,2024-11-20 19:09:19.739050+00:00,2024-11-28 00:00:00+00:00,fully_settled,1.25,1,11.25,2025-01-03 06:37:01.991017+00:00,allocation_repayment
3,3,20.0,2024-11-20 18:18:02.792600+00:00,2024-11-28 00:00:00+00:00,fully_settled,2.5,1,22.5,2025-01-04 05:13:23.293463+00:00,allocation_repayment
206,76,1000.0,2024-12-12 13:18:43.156008+00:00,2024-12-14 00:00:00+00:00,fully_settled,185.0,4,1185.0,2025-01-04 07:11:35.383822+00:00,allocation_repayment
201,76,3000.0,2024-12-09 05:55:55.007724+00:00,2024-12-14 00:00:00+00:00,fully_settled,555.0,4,3555.0,2025-01-04 07:11:49.975130+00:00,allocation_repayment
195,69,4000.0,2024-12-06 12:19:09.395712+00:00,2024-12-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-01-04 07:11:59.313440+00:00,allocation_repayment
194,65,500.0,2024-12-06 11:46:31.367918+00:00,2024-12-14 00:00:00+00:00,fully_settled,92.5,4,592.5,2025-01-04 07:12:07.747290+00:00,allocation_repayment
191,61,500.0,2024-12-05 19:37:08.751599+00:00,2024-12-14 00:00:00+00:00,fully_settled,92.5,4,592.5,2025-01-04 07:12:16.343942+00:00,allocation_repayment
190,66,4000.0,2024-12-05 15:20:09.238750+00:00,2024-12-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-01-04 07:12:24.448744+00:00,allocation_repayment
189,63,5000.0,2024-12-05 06:46:56.942012+00:00,2024-12-14 00:00:00+00:00,fully_settled,925.0,4,5925.0,2025-01-04 07:12:34.330281+00:00,allocation_repayment
187,75,3000.0,2024-12-04 18:42:22.851215+00:00,2024-12-14 00:00:00+00:00,fully_settled,555.0,4,3555.0,2025-01-04 07:26:07.798001+00:00,allocation_repayment
185,52,4000.0,2024-12-04 14:10:24.432000+00:00,2024-12-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-01-04 07:26:13.632163+00:00,allocation_repayment
184,73,6000.0,2024-12-04 12:21:15.035277+00:00,2024-12-14 00:00:00+00:00,fully_settled,1110.0,4,7110.0,2025-01-04 07:26:26.958976+00:00,allocation_repayment
181,67,4000.0,2024-12-04 08:49:05.307126+00:00,2024-12-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-01-04 07:26:33.669854+00:00,allocation_repayment
